log_returns,volatility,lagged_volatility_1,Date
0.0001248406054608939,0.0013810738542499965,0.0014236591683592687,2025-05-06 10:45:00
0.0003209471534573866,0.0013618463866731066,0.0013810738542499965,2025-05-06 11:00:00
0.001282759533803014,0.001381509864988972,0.0013618463866731066,2025-05-06 11:15:00
-0.0016126233565279785,0.0014082358917159867,0.001381509864988972,2025-05-06 11:30:00
-0.0006689768917288495,0.0014136672515672535,0.0014082358917159867,2025-05-06 11:45:00
0.004575770685120058,0.001663640293585241,0.0014136672515672535,2025-05-06 12:00:00
-0.00418396351774427,0.0018655984420777696,0.001663640293585241,2025-05-06 12:15:00
-0.0008023345222948114,0.0018733398500321294,0.0018655984420777696,2025-05-06 12:30:00
-0.0016616790351385794,0.001902573531423041,0.0018733398500321294,2025-05-06 12:45:00
0.0017866399850044996,0.0019357441853360981,0.001902573531423041,2025-05-06 13:00:00
-0.0008750547467554619,0.0019328154164191904,0.0019357441853360981,2025-05-06 13:15:00
-0.001958251433897069,0.0019690547177177446,0.0019328154164191904,2025-05-06 13:30:00
-0.0003312251331683043,0.0019219469131023196,0.0019690547177177446,2025-05-06 13:45:00
0.0010559568575852615,0.0019318197126819326,0.0019219469131023196,2025-05-06 14:00:00
0.0026082621618231266,0.0019898799675020858,0.0019318197126819326,2025-05-06 14:15:00
-0.0003768841575530477,0.001988272836370403,0.0019898799675020858,2025-05-06 14:30:00
0.0013576872463522578,0.0019959556701681746,0.001988272836370403,2025-05-06 14:45:00
-0.0007845654979670377,0.0019950274474405533,0.0019959556701681746,2025-05-06 15:00:00
0.0003299491284050379,0.001985012823630411,0.0019950274474405533,2025-05-06 15:15:00
0.0005437326039254318,0.0019722517094561995,0.001985012823630411,2025-05-06 15:30:00
-0.004089693080211773,0.0021370661925185414,0.0019722517094561995,2025-05-06 15:45:00
-7.158452345657554e-05,0.0020911486593980775,0.0021370661925185414,2025-05-06 16:00:00
-0.0031188969339653073,0.002086993942640846,0.0020911486593980775,2025-05-06 16:15:00
0.001399329268003635,0.002046652145487551,0.002086993942640846,2025-05-06 16:30:00
0.00016133513824679487,0.0019289725454173063,0.002046652145487551,2025-05-06 16:45:00
-0.00021511930240893527,0.0019280378232188343,0.0019289725454173063,2025-05-06 17:00:00
-0.0003137986245506524,0.0019269992408432312,0.0019280378232188343,2025-05-06 17:15:00
0.0,0.001924441581004415,0.0019269992408432312,2025-05-06 17:30:00
-0.00019119646176210772,0.0018996661961075353,0.001924441581004415,2025-05-06 17:45:00
0.009393783843928055,0.0026645698376512638,0.0018996661961075353,2025-05-06 18:00:00
0.0018456524654981328,0.0026797283565954716,0.0026645698376512638,2025-05-06 18:15:00
-0.0024677917558844934,0.0025773170748087802,0.0026797283565954716,2025-05-06 18:30:00
0.0019507986570671888,0.0024606464779148643,0.0025773170748087802,2025-05-06 18:45:00
-0.0012398139132884587,0.002469248599920494,0.0024606464779148643,2025-05-06 19:00:00
0.0003375407523676027,0.0024404931762994826,0.002469248599920494,2025-05-06 19:15:00
0.00037293885123116706,0.002420767713462777,0.0024404931762994826,2025-05-06 19:30:00
0.00035505059843947916,0.0024108202776265296,0.002420767713462777,2025-05-06 19:45:00
-0.008198228059465568,0.0029005205656306276,0.0024108202776265296,2025-05-06 20:00:00
0.005300886075116281,0.003078697429636438,0.0029005205656306276,2025-05-07 04:00:00
0.00040933643576791394,0.0030743558514073933,0.003078697429636438,2025-05-07 04:15:00
0.0003558085787406176,0.003035378816448274,0.0030743558514073933,2025-05-07 04:30:00
0.0002312077055820768,0.0030337621168272585,0.003035378816448274,2025-05-07 04:45:00
7.113007916212239e-05,0.003023590929923966,0.0030337621168272585,2025-05-07 05:00:00
-0.0007471182928996595,0.003023166029335714,0.003023590929923966,2025-05-07 05:15:00
0.00040920534672912317,0.0030234549651336202,0.003023166029335714,2025-05-07 05:30:00
-0.0003024399813123786,0.003022991898663459,0.0030234549651336202,2025-05-07 05:45:00
0.00035580224886573304,0.002902017711888855,0.003022991898663459,2025-05-07 06:00:00
-0.00037359568486770563,0.0029038935813087492,0.002902017711888855,2025-05-07 06:15:00
0.000800391345143857,0.002824139763254664,0.0029038935813087492,2025-05-07 06:30:00
-0.00032007966700484743,0.0028192754082212498,0.002824139763254664,2025-05-07 06:45:00
0.0009421636684037917,0.0028218194798236666,0.0028192754082212498,2025-05-07 07:00:00
-0.0006220840013988817,0.0028261300884737544,0.0028218194798236666,2025-05-07 07:15:00
-0.0008537735528667219,0.0028329602035369024,0.0028261300884737544,2025-05-07 07:30:00
0.00046255115572965493,0.002832449311697744,0.0028329602035369024,2025-05-07 07:45:00
-0.002635845441380228,0.0028900324959393597,0.002832449311697744,2025-05-07 08:00:00
-1.783341804249817e-05,0.002203458534614939,0.0028900324959393597,2025-05-07 08:15:00
0.0006950895388106815,0.0021733831360424643,0.002203458534614939,2025-05-07 08:30:00
-0.0004989394298534679,0.0021242963273639735,0.0021733831360424643,2025-05-07 08:45:00
-0.0018203238777423913,0.0021069054584374088,0.0021242963273639735,2025-05-07 09:00:00
0.0005714387912421622,0.0021028498037092705,0.0021069054584374088,2025-05-07 09:15:00
0.001534125671038089,0.0021276127188274213,0.0021028498037092705,2025-05-07 09:30:00
0.0008016251020935928,0.0021333637921045067,0.0021276127188274213,2025-05-07 09:45:00
3.597698897929451e-05,0.002131444523517118,0.0021333637921045067,2025-05-07 10:00:00
0.0006051811272408948,0.0013573873804069386,0.002131444523517118,2025-05-07 10:15:00
-0.00022251594418547582,0.0008747408405625087,0.0013573873804069386,2025-05-07 10:30:00
